Week,journalist death,journalist killed,journalist missing,Freedom of speech,imprisoned,Country
3/4/2018,0,1,0,91,14,Worldwide
3/11/2018,1,1,0,91,13,Worldwide
3/18/2018,1,1,0,100,11,Worldwide
3/25/2018,1,2,0,88,12,Worldwide
4/1/2018,0,2,0,81,13,Worldwide
4/8/2018,1,3,0,92,12,Worldwide
4/15/2018,1,4,0,96,13,Worldwide
4/22/2018,1,3,0,98,14,Worldwide
4/29/2018,1,2,0,86,13,Worldwide
5/6/2018,1,1,0,92,13,Worldwide
5/13/2018,1,2,0,84,13,Worldwide
5/20/2018,1,1,0,87,12,Worldwide
5/27/2018,3,8,0,87,14,Worldwide
6/3/2018,2,1,0,78,13,Worldwide
6/10/2018,1,2,0,67,12,Worldwide
6/17/2018,1,1,0,54,14,Worldwide
6/24/2018,1,2,0,55,11,Worldwide
7/1/2018,1,1,0,54,11,Worldwide
7/8/2018,1,1,0,54,10,Worldwide
7/15/2018,1,2,0,54,13,Worldwide
7/22/2018,1,1,0,53,11,Worldwide
7/29/2018,1,2,0,59,14,Worldwide
8/5/2018,1,1,0,69,10,Worldwide
8/12/2018,2,2,0,68,10,Worldwide
8/19/2018,2,1,0,58,11,Worldwide
8/26/2018,1,1,0,72,12,Worldwide
9/2/2018,1,1,0,83,13,Worldwide
9/9/2018,1,1,0,82,13,Worldwide
9/16/2018,0,1,0,88,14,Worldwide
9/23/2018,1,1,0,90,13,Worldwide
9/30/2018,0,1,0,88,13,Worldwide
10/7/2018,3,32,17,88,13,Worldwide
10/14/2018,6,54,31,92,14,Worldwide
10/21/2018,4,33,6,97,13,Worldwide
10/28/2018,1,8,1,96,12,Worldwide
11/4/2018,1,6,0,95,13,Worldwide
11/11/2018,1,6,1,92,13,Worldwide
11/18/2018,1,8,1,76,11,Worldwide
11/25/2018,1,4,1,91,13,Worldwide
12/2/2018,1,3,0,92,14,Worldwide
12/9/2018,1,4,0,88,14,Worldwide
12/16/2018,1,3,0,63,12,Worldwide
12/23/2018,1,2,0,34,9,Worldwide
12/30/2018,1,2,0,43,9,Worldwide
1/6/2019,1,2,0,70,13,Worldwide
1/13/2019,1,3,0,79,12,Worldwide
1/20/2019,1,2,0,73,12,Worldwide
1/27/2019,1,2,0,75,14,Worldwide
2/3/2019,1,3,0,78,13,Worldwide
2/10/2019,0,2,0,78,14,Worldwide
2/17/2019,1,2,0,88,12,Worldwide
2/24/2019,1,3,1,78,18,Worldwide
