keywords,Hit,root,status
saudi journalist,100,journalist killed,Top
saudi killed journalist,99,journalist killed,Top
turkey journalist killed,46,journalist killed,Top
journalist killed in saudi,42,journalist killed,Top
saudi arabia killed journalist,40,journalist killed,Top
journalist killed in turkey,39,journalist killed,Top
saudi arabia,38,journalist killed,Top
saudi journalist killed in turkey,19,journalist killed,Top
american journalist killed,17,journalist killed,Top
journalist killed in saudi arabia,17,journalist killed,Top
us journalist killed,10,journalist killed,Top
russian journalist killed,10,journalist killed,Top
bulgarian journalist killed,9,journalist killed,Top
female journalist killed,8,journalist killed,Top
washington post journalist killed,7,journalist killed,Top
turkish journalist killed,6,journalist killed,Top
journalist killed in embassy,5,journalist killed,Top
who killed saudi journalist,5,journalist killed,Top
why was journalist killed,5,journalist killed,Top
journalist killed in syria,5,journalist killed,Top
journalist killed in saudi embassy,4,journalist killed,Top
journalist killed by saudi arabia,4,journalist killed,Top
nicaragua journalist killed,4,journalist killed,Top
why was saudi journalist killed,3,journalist killed,Top
journalist killed in north carolina,3,journalist killed,Top
turkey journalist killed,,journalist killed,RISING
journalist killed in saudi,,journalist killed,RISING
journalist killed in turkey,,journalist killed,RISING
saudi journalist killed in turkey,,journalist killed,RISING
journalist killed in saudi arabia,,journalist killed,RISING
bulgarian journalist killed,,journalist killed,RISING
washington post journalist killed,,journalist killed,RISING
turkish journalist killed,,journalist killed,RISING
journalist killed in embassy,,journalist killed,RISING
who killed saudi journalist,,journalist killed,RISING
journalist killed in saudi embassy,,journalist killed,RISING
journalist killed by saudi arabia,,journalist killed,RISING
nicaragua journalist killed,,journalist killed,RISING
why was saudi journalist killed,,journalist killed,RISING
journalist killed in north carolina,,journalist killed,RISING
american journalist killed in turkey,,journalist killed,RISING
saudi arabia journalist killed in turkey,,journalist killed,RISING
journalist killed by tribe,,journalist killed,RISING
nicaragua,,journalist killed,RISING
bulgarian journalist killed with ricin,,journalist killed,RISING
palestinian journalist killed,,journalist killed,RISING
journalist killed in slovakia,,journalist killed,RISING
russian journalist killed in kiev,,journalist killed,RISING
journalist killed in ghana,,journalist killed,RISING
american journalist killed in saudi arabia,,journalist killed,RISING
saudi journalist,100,journalist missing,Top
saudi missing journalist,97,journalist missing,Top
missing journalist turkey,26,journalist missing,Top
journalist saudi arabia missing,24,journalist missing,Top
missing journalist in saudi arabia,9,journalist missing,Top
missing washington post journalist,9,journalist missing,Top
saudi journalist missing in turkey,5,journalist missing,Top
saudi journalist,,journalist missing,RISING
saudi missing journalist,,journalist missing,RISING
missing journalist turkey,,journalist missing,RISING
journalist saudi arabia missing,,journalist missing,RISING
missing journalist in saudi arabia,,journalist missing,RISING
missing washington post journalist,,journalist missing,RISING
saudi journalist missing in turkey,,journalist missing,RISING
